hsanum,hsacity,hsastate,cursmok_num,cursmok_denom,cursmok_pct,cursmok_pct_se,cursmok_state,cursmok_state_se,obese_num,obese_denom,obese_pct,obese_pct_se,obese_state,obese_state_se,pdiet_num,pdiet_denom,pdiet_pct,pdiet_pct_se,pdiet_state,pdiet_state_se,inactive_num,inactive_denom,inactive_pct,inactive_pct_se,inactive_state,inactive_state_se,alcohol_num,alcohol_denom,alcohol_pct,alcohol_pct_se,alcohol_state,alcohol_state_se,hypsr_num,hypsr_denom,hypsr_pct,hypsr_pct_se,hypsr_state,hypsr_state_se,cholsr_num,cholsr_denom,cholsr_pct,cholsr_pct_se,cholsr_state,cholsr_state_se,dbsr_num,dbsr_denom,dbsr_pct,dbsr_pct_se,dbsr_state,dbsr_state_se,strokesr_num,strokesr_denom,strokesr_pct,strokesr_pct_se,strokesr_state,strokesr_state_se,misr_num,misr_denom,misr_pct,misr_pct_se,misr_state,misr_state_se,chdsr_num,chdsr_denom,chdsr_pct,chdsr_pct_se,chdsr_state,chdsr_state_se,copdsr_num,copdsr_denom,copdsr_pct,copdsr_pct_se,copdsr_state,copdsr_state_se,lowgenhlth_num,lowgenhlth_denom,lowgenhlth_pct,lowgenhlth_pct_se,lowgenhlth_state,lowgenhlth_state_se,bpmed_num,bpmed_denom,bpmed_pct,bpmed_pct_se,bpmed_state,bpmed_state_se,age65_num,age65_denom,age65_pct,age65_pct_se,age65_state,age65_state_se,nohs_num,nohs_denom,nohs_pct,nohs_pct_se,nohs_state,nohs_state_se,poor_num,poor_denom,poor_pct,poor_pct_se,poor_state,poor_state_se,female_num,female_denom,female_pct,female_pct_se,female_state,female_state_se,uninsured_num,uninsured_denom,uninsured_pct,uninsured_pct_se,uninsured_state,uninsured_state_se,nodoc_num,nodoc_denom,nodoc_pct,nodoc_pct_se,nodoc_state,nodoc_state_se,medcost_num,medcost_denom,medcost_pct,medcost_pct_se,medcost_state,medcost_state_se
20001,Augusta,ME,430,2221,23.7,1.3,20.6,0.3076993067,670,2166,30.9,1.3,28.5,0.3157733035,662,1112,62.1,2,60.6,0.4760612294,300,1072,27.8,1.8,26.5,0.447828905,124,2176,6.1,0.8,7.1,0.1886627774,480,1163,34,1.8,33,0.4277066342,478,1060,38.3,1.9,40.5,0.4788523038,293,2232,11,0.8,9.6,0.1805805997,74,2223,2.7,0.4,2.8,0.101079311,171,2220,6.9,0.7,5.4,0.1423418332,161,2211,5.8,0.6,5.2,0.1323174942,235,2217,8.4,0.7,7.7,0.1740288112,395,2224,16.2,1,15.5,0.2489108411,81,479,21.6,2.8,21.1,0.683113719,708,2227,21.5,1,21.8,0.2235318975,118,2227,9.5,1.1,9.8,0.2718125138,229,2050,11,0.9,11.9,0.2449268988,1308,2234,51,1.4,51.8,0.3466066631,172,2228,11.2,1,12,0.2507097598,170,2223,11.7,1.1,12,0.2576709594,202,2228,11.6,1,10.8,0.2328670456
20002,Bangor,ME,604,3407,22.4,1,20.6,0.3076993067,961,3324,29.3,1,28.5,0.3157733035,1015,1697,63.5,1.5,60.6,0.4760612294,495,1663,30.2,1.5,26.5,0.447828905,200,3336,6.3,0.6,7.1,0.1886627774,726,1799,32.9,1.4,33,0.4277066342,760,1608,41.3,1.6,40.5,0.4788523038,402,3449,8.8,0.5,9.6,0.1805805997,138,3446,3,0.3,2.8,0.101079311,242,3430,5.3,0.4,5.4,0.1423418332,231,3424,4.9,0.4,5.2,0.1323174942,322,3432,7.7,0.6,7.7,0.1740288112,600,3422,16.5,0.9,15.5,0.2489108411,119,726,19.8,2.1,21.1,0.683113719,1016,3442,18.3,0.7,21.8,0.2235318975,165,3445,9.5,0.9,9.8,0.2718125138,426,3103,13.4,0.8,11.9,0.2449268988,2006,3452,50.5,1.1,51.8,0.3466066631,305,3440,12.5,0.9,12,0.2507097598,343,3437,14.2,0.9,12,0.2576709594,314,3448,11.3,0.8,10.8,0.2328670456
20003,Bar Harbor,ME,47,367,15.3,2.6,20.6,0.3076993067,54,360,16.3,2.6,28.5,0.3157733035,80,181,46.3,6.1,60.6,0.4760612294,36,180,16.4,3.2,26.5,0.447828905,48,360,13.9,2.4,7.1,0.1886627774,56,191,23.1,3.8,33,0.4277066342,68,167,34.7,4.3,40.5,0.4788523038,25,370,4.6,1.1,9.6,0.1805805997,16,370,3.4,0.9,2.8,0.101079311,15,370,2.2,0.6,5.4,0.1423418332,13,369,2.2,0.8,5.2,0.1323174942,22,367,4.2,1.3,7.7,0.1740288112,40,369,8.5,1.8,15.5,0.2489108411,8,56,17.8,6.5,21.1,0.683113719,150,369,27.7,2.7,21.8,0.2235318975,11,369,8.4,4,9.8,0.2718125138,33,335,9.2,2.2,11.9,0.2449268988,228,370,56,3.6,51.8,0.3466066631,31,370,12.5,2.5,12,0.2507097598,36,369,16.5,3,12,0.2576709594,34,369,9.5,2,10.8,0.2328670456
20005,Belfast,ME,138,926,18.4,1.9,20.6,0.3076993067,268,916,31,2.2,28.5,0.3157733035,258,475,61.6,3,60.6,0.4760612294,137,474,26.4,2.7,26.5,0.447828905,63,912,7.4,1.3,7.1,0.1886627774,202,507,36.1,3.1,33,0.4277066342,176,454,35.2,3.1,40.5,0.4788523038,121,938,10.8,1.4,9.6,0.1805805997,37,935,3.1,0.6,2.8,0.101079311,76,935,6.8,0.9,5.4,0.1423418332,59,936,5.7,0.9,5.2,0.1323174942,82,933,6.7,1,7.7,0.1740288112,176,933,17.5,1.7,15.5,0.2489108411,37,202,21.1,4.4,21.1,0.683113719,321,932,23.2,1.7,21.8,0.2235318975,55,937,9.2,1.6,9.8,0.2718125138,139,853,12.7,1.5,11.9,0.2449268988,559,938,52.6,2.3,51.8,0.3466066631,92,938,14,1.8,12,0.2507097598,81,937,10.9,1.5,12,0.2576709594,81,938,12,1.6,10.8,0.2328670456
20006,Biddeford,ME,228,1576,18.2,1.4,20.6,0.3076993067,389,1528,25.8,1.4,28.5,0.3157733035,418,771,53.6,2.3,60.6,0.4760612294,195,768,24.6,2.1,26.5,0.447828905,110,1540,7.8,0.9,7.1,0.1886627774,354,838,35.7,2.1,33,0.4277066342,359,763,42.3,2.2,40.5,0.4788523038,211,1596,10,0.8,9.6,0.1805805997,56,1591,2.8,0.5,2.8,0.101079311,109,1589,6.3,0.8,5.4,0.1423418332,102,1582,5.1,0.6,5.2,0.1323174942,139,1587,7.9,0.9,7.7,0.1740288112,222,1580,12.9,1.1,15.5,0.2489108411,55,354,21.1,3.5,21.1,0.683113719,589,1586,25.8,1.2,21.8,0.2235318975,83,1595,9.6,1.3,9.8,0.2718125138,151,1432,9.6,1,11.9,0.2449268988,965,1597,52.6,1.6,51.8,0.3466066631,109,1596,8.9,1,12,0.2507097598,102,1592,9.1,1.1,12,0.2576709594,123,1594,8.8,1,10.8,0.2328670456
20007,Blue Hill,ME,43,378,14.6,2.7,20.6,0.3076993067,69,374,20.9,3,28.5,0.3157733035,88,181,57.8,4.7,60.6,0.4760612294,38,173,25,4.7,26.5,0.447828905,46,368,12.2,2.2,7.1,0.1886627774,57,195,30.2,4.5,33,0.4277066342,60,164,32.4,4.5,40.5,0.4788523038,29,385,5.1,1.1,9.6,0.1805805997,15,386,2.7,0.9,2.8,0.101079311,17,385,2.5,0.7,5.4,0.1423418332,20,384,4,1.1,5.2,0.1323174942,29,385,8.5,2.4,7.7,0.1740288112,41,386,9.8,2.2,15.5,0.2489108411,12,57,23,6.9,21.1,0.683113719,157,385,26.1,2.5,21.8,0.2235318975,15,385,11.2,3.1,9.8,0.2718125138,34,345,9.9,2.6,11.9,0.2449268988,239,386,52.5,3.5,51.8,0.3466066631,49,385,21.1,3.4,12,0.2507097598,40,386,17.1,3.1,12,0.2576709594,29,385,8.9,2.1,10.8,0.2328670456
20008,Boothbay Harbor,ME,30,319,12.4,2.9,20.6,0.3076993067,53,307,18.4,3,28.5,0.3157733035,78,161,52.2,6,60.6,0.4760612294,40,160,23,4.3,26.5,0.447828905,34,309,10.1,2.5,7.1,0.1886627774,74,174,34.7,5,33,0.4277066342,75,158,46.6,5.3,40.5,0.4788523038,37,324,10,2.1,9.6,0.1805805997,9,322,1.1,0.4,2.8,0.101079311,17,323,3.4,1,5.4,0.1423418332,21,323,4.2,1.2,5.2,0.1323174942,26,320,4.6,1.1,7.7,0.1740288112,49,322,13.8,2.7,15.5,0.2489108411,7,74,17.2,7.7,21.1,0.683113719,176,323,37.5,3.5,21.8,0.2235318975,12,324,9.8,3.5,9.8,0.2718125138,24,289,7.8,2.3,11.9,0.2449268988,208,324,59.9,4,51.8,0.3466066631,21,324,9.2,2.8,12,0.2507097598,18,324,4.4,1.4,12,0.2576709594,18,324,8.4,2.6,10.8,0.2328670456
20009,Bridgton,ME,83,563,20.3,2.6,20.6,0.3076993067,159,547,25.8,2.3,28.5,0.3157733035,154,271,59.2,4.2,60.6,0.4760612294,65,268,20.3,3.2,26.5,0.447828905,41,549,8.9,1.8,7.1,0.1886627774,127,297,34.3,3.6,33,0.4277066342,125,271,43.6,4.1,40.5,0.4788523038,60,568,9,1.4,9.6,0.1805805997,26,565,3.4,0.7,2.8,0.101079311,40,566,4.5,0.8,5.4,0.1423418332,41,564,5.3,1,5.2,0.1323174942,44,566,5.2,1,7.7,0.1740288112,77,566,11.4,1.6,15.5,0.2489108411,15,127,18.9,6.1,21.1,0.683113719,204,563,24.8,2.1,21.8,0.2235318975,25,568,7.9,1.9,9.8,0.2718125138,70,515,13,2,11.9,0.2449268988,340,568,50.6,2.8,51.8,0.3466066631,65,565,17.4,2.5,12,0.2507097598,50,564,14.1,2.5,12,0.2576709594,65,565,14.5,2.1,10.8,0.2328670456
20010,Brunswick,ME,292,2491,14.7,1.1,20.6,0.3076993067,536,2427,21.5,1.1,28.5,0.3157733035,609,1263,49.4,1.9,60.6,0.4760612294,278,1231,21.6,1.6,26.5,0.447828905,206,2439,8.8,0.8,7.1,0.1886627774,540,1332,34.2,1.7,33,0.4277066342,511,1209,38.1,1.8,40.5,0.4788523038,248,2505,8.2,0.7,9.6,0.1805805997,72,2503,2,0.3,2.8,0.101079311,136,2500,5,0.6,5.4,0.1423418332,138,2493,5.1,0.6,5.2,0.1323174942,192,2496,6,0.6,7.7,0.1740288112,332,2494,12.6,0.9,15.5,0.2489108411,88,539,18.7,2.3,21.1,0.683113719,977,2499,26.2,1,21.8,0.2235318975,103,2505,6.2,0.8,9.8,0.2718125138,185,2232,7.3,0.8,11.9,0.2449268988,1525,2509,52.7,1.4,51.8,0.3466066631,155,2505,9.2,0.9,12,0.2507097598,141,2502,8.6,0.9,12,0.2576709594,160,2504,7.7,0.8,10.8,0.2328670456
20011,Calais,ME,131,652,22.2,2.2,20.6,0.3076993067,212,655,33.2,2.5,28.5,0.3157733035,212,335,68.6,3.1,60.6,0.4760612294,106,331,29.5,3.1,26.5,0.447828905,51,639,8,1.6,7.1,0.1886627774,165,353,42.5,3.5,33,0.4277066342,156,304,44.8,3.6,40.5,0.4788523038,108,661,13.5,1.6,9.6,0.1805805997,22,661,1.9,0.5,2.8,0.101079311,65,660,7.6,1.3,5.4,0.1423418332,60,660,7.5,1.3,5.2,0.1323174942,82,655,8.6,1.2,7.7,0.1740288112,159,659,20.5,2,15.5,0.2489108411,22,165,19.1,5.2,21.1,0.683113719,249,660,26.4,2,21.8,0.2235318975,40,662,9.6,1.9,9.8,0.2718125138,108,597,15.9,2.1,11.9,0.2449268988,402,662,55.2,2.6,51.8,0.3466066631,62,661,11.4,1.8,12,0.2507097598,87,657,14.9,2.1,12,0.2576709594,43,662,5.8,1.2,10.8,0.2328670456
